DATE,CORSREACBS
1985-01-01,0.28
1985-04-01,0.25
1985-07-01,0.26
1985-10-01,0.31
1986-01-01,0.33
1986-04-01,0.39
1986-07-01,0.43
1986-10-01,0.47
1987-01-01,0.46
1987-04-01,0.41
1987-07-01,0.44
1987-10-01,0.46
1988-01-01,0.46
1988-04-01,0.63
1988-07-01,0.44
1988-10-01,0.33
1989-01-01,0.48
1989-04-01,0.47
1989-07-01,0.53
1989-10-01,0.53
1990-01-01,0.69
1990-04-01,0.74
1990-07-01,0.77
1990-10-01,0.98
1991-01-01,0.88
1991-04-01,0.95
1991-07-01,1.00
1991-10-01,1.17
1992-01-01,1.01
1992-04-01,0.95
1992-07-01,1.18
1992-10-01,1.07
1993-01-01,0.80
1993-04-01,0.75
1993-07-01,0.59
1993-10-01,0.47
1994-01-01,0.47
1994-04-01,0.36
1994-07-01,0.25
1994-10-01,0.25
1995-01-01,0.24
1995-04-01,0.24
1995-07-01,0.14
1995-10-01,0.11
1996-01-01,0.17
1996-04-01,0.10
1996-07-01,0.09
1996-10-01,0.05
1997-01-01,0.09
1997-04-01,0.06
1997-07-01,0.06
1997-10-01,0.05
1998-01-01,0.07
1998-04-01,0.04
1998-07-01,0.05
1998-10-01,0.05
1999-01-01,0.07
1999-04-01,0.07
1999-07-01,0.08
1999-10-01,0.08
2000-01-01,0.09
2000-04-01,0.09
2000-07-01,0.08
2000-10-01,0.10
2001-01-01,0.13
2001-04-01,0.14
2001-07-01,0.30
2001-10-01,0.19
2002-01-01,0.17
2002-04-01,0.15
2002-07-01,0.15
2002-10-01,0.15
2003-01-01,0.14
2003-04-01,0.16
2003-07-01,0.14
2003-10-01,0.23
2004-01-01,0.12
2004-04-01,0.10
2004-07-01,0.08
2004-10-01,0.07
2005-01-01,0.08
2005-04-01,0.08
2005-07-01,0.07
2005-10-01,0.02
2006-01-01,0.09
2006-04-01,0.09
2006-07-01,0.08
2006-10-01,0.06
2007-01-01,0.15
2007-04-01,0.19
2007-07-01,0.22
2007-10-01,0.34
2008-01-01,0.72
2008-04-01,1.08
2008-07-01,1.47
2008-10-01,1.73
2009-01-01,1.63
2009-04-01,2.28
2009-07-01,2.41
2009-10-01,2.76
2010-01-01,2.35
2010-04-01,2.21
2010-07-01,2.05
2010-10-01,1.99
2011-01-01,1.66
2011-04-01,1.58
2011-07-01,1.40
2011-10-01,1.21
2012-01-01,1.17
2012-04-01,1.04
2012-07-01,1.30
2012-10-01,0.80
2013-01-01,0.71
2013-04-01,0.56
2013-07-01,0.39
2013-10-01,0.29
2014-01-01,0.26
2014-04-01,0.20
2014-07-01,0.20
2014-10-01,0.14
2015-01-01,0.18
2015-04-01,0.14
2015-07-01,0.10
2015-10-01,0.11
2016-01-01,0.07
2016-04-01,0.07
2016-07-01,0.06
2016-10-01,0.03
2017-01-01,0.04
2017-04-01,0.03
2017-07-01,0.03
2017-10-01,0.01
2018-01-01,0.02
2018-04-01,0.01
2018-07-01,0.00
2018-10-01,0.00
2019-01-01,0.03
2019-04-01,0.00
2019-07-01,-0.01
2019-10-01,0.01
2020-01-01,0.01
2020-04-01,0.05
2020-07-01,0.06
2020-10-01,0.06
2021-01-01,0.03
