DATE,BOGZ1FA645019005Q
1946-10-01,9.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,10.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,19.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,15.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,29.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,31.0
1952-01-01,24.0
1952-04-01,24.0
1952-07-01,21.0
1952-10-01,23.0
1953-01-01,35.0
1953-04-01,35.0
1953-07-01,36.0
1953-10-01,35.0
1954-01-01,39.0
1954-04-01,39.0
1954-07-01,39.0
1954-10-01,39.0
1955-01-01,66.0
1955-04-01,70.0
1955-07-01,75.0
1955-10-01,78.0
1956-01-01,67.0
1956-04-01,69.0
1956-07-01,72.0
1956-10-01,72.0
1957-01-01,57.0
1957-04-01,57.0
1957-07-01,58.0
1957-10-01,57.0
1958-01-01,54.0
1958-04-01,52.0
1958-07-01,50.0
1958-10-01,53.0
1959-01-01,76.0
1959-04-01,80.0
1959-07-01,82.0
1959-10-01,82.0
1960-01-01,68.0
1960-04-01,69.0
1960-07-01,68.0
1960-10-01,68.0
1961-01-01,74.0
1961-04-01,74.0
1961-07-01,74.0
1961-10-01,76.0
1962-01-01,68.0
1962-04-01,71.0
1962-07-01,72.0
1962-10-01,71.0
1963-01-01,73.0
1963-04-01,76.0
1963-07-01,78.0
1963-10-01,80.0
1964-01-01,92.0
1964-04-01,95.0
1964-07-01,98.0
1964-10-01,101.0
1965-01-01,129.0
1965-04-01,135.0
1965-07-01,140.0
1965-10-01,148.0
1966-01-01,143.0
1966-04-01,146.0
1966-07-01,148.0
1966-10-01,148.0
1967-01-01,165.0
1967-04-01,166.0
1967-07-01,166.0
1967-10-01,171.0
1968-01-01,199.0
1968-04-01,210.0
1968-07-01,218.0
1968-10-01,244.0
1969-01-01,281.0
1969-04-01,222.0
1969-07-01,247.0
1969-10-01,262.0
1970-01-01,249.0
1970-04-01,258.0
1970-07-01,290.0
1970-10-01,268.0
1971-01-01,320.0
1971-04-01,341.0
1971-07-01,344.0
1971-10-01,367.0
1972-01-01,482.0
1972-04-01,537.0
1972-07-01,518.0
1972-10-01,565.0
1973-01-01,539.0
1973-04-01,581.0
1973-07-01,515.0
1973-10-01,495.0
1974-01-01,477.0
1974-04-01,457.0
1974-07-01,475.0
1974-10-01,387.0
1975-01-01,304.0
1975-04-01,326.0
1975-07-01,275.0
1975-10-01,338.0
1976-01-01,240.0
1976-04-01,241.0
1976-07-01,261.0
1976-10-01,298.0
1977-01-01,288.0
1977-04-01,264.0
1977-07-01,310.0
1977-10-01,339.0
1978-01-01,357.0
1978-04-01,395.0
1978-07-01,420.0
1978-10-01,426.0
1979-01-01,327.0
1979-04-01,338.0
1979-07-01,358.0
1979-10-01,365.0
1980-01-01,408.0
1980-04-01,398.0
1980-07-01,411.0
1980-10-01,436.0
1981-01-01,423.0
1981-04-01,443.0
1981-07-01,466.0
1981-10-01,483.0
1982-01-01,608.0
1982-04-01,602.0
1982-07-01,589.0
1982-10-01,563.0
1983-01-01,641.0
1983-04-01,634.0
1983-07-01,664.0
1983-10-01,715.0
1984-01-01,803.0
1984-04-01,870.0
1984-07-01,907.0
1984-10-01,916.0
1985-01-01,804.0
1985-04-01,826.0
1985-07-01,831.0
1985-10-01,949.0
1986-01-01,1140.0
1986-04-01,993.0
1986-07-01,968.0
1986-10-01,1691.0
1987-01-01,1077.0
1987-04-01,1190.0
1987-07-01,1344.0
1987-10-01,1707.0
1988-01-01,1200.0
1988-04-01,1290.0
1988-07-01,1309.0
1988-10-01,1519.0
1989-01-01,1362.0
1989-04-01,1381.0
1989-07-01,1580.0
1989-10-01,1572.0
1990-01-01,2221.0
1990-04-01,2212.0
1990-07-01,2230.0
1990-10-01,2171.0
1991-01-01,2153.0
1991-04-01,2113.0
1991-07-01,2133.0
1991-10-01,1956.0
1992-01-01,2352.0
1992-04-01,2255.0
1992-07-01,2432.0
1992-10-01,12092.0
1993-01-01,4470.0
1993-04-01,4029.0
1993-07-01,10206.0
1993-10-01,9975.0
1994-01-01,9760.0
1994-04-01,11263.0
1994-07-01,11721.0
1994-10-01,4251.0
1995-01-01,4298.0
1995-04-01,6680.0
1995-07-01,4950.0
1995-10-01,5559.0
1996-01-01,5581.0
1996-04-01,6806.0
1996-07-01,7663.0
1996-10-01,8953.0
1997-01-01,12189.0
1997-04-01,12644.0
1997-07-01,15189.0
1997-10-01,20117.0
1998-01-01,17403.0
1998-04-01,15946.0
1998-07-01,18472.0
1998-10-01,13302.0
1999-01-01,11403.0
1999-04-01,1248.0
1999-07-01,7637.0
1999-10-01,7387.0
2000-01-01,8710.0
2000-04-01,7723.0
2000-07-01,9105.0
2000-10-01,11710.0
2001-01-01,7770.0
2001-04-01,6013.0
2001-07-01,3019.0
2001-10-01,22446.0
2002-01-01,10643.0
2002-04-01,7268.0
2002-07-01,8716.0
2002-10-01,5801.0
2003-01-01,4656.0
2003-04-01,4607.0
2003-07-01,-903.0
2003-10-01,5965.0
2004-01-01,19911.0
2004-04-01,16808.0
2004-07-01,13890.0
2004-10-01,15745.0
2005-01-01,13929.0
2005-04-01,13570.0
2005-07-01,11573.0
2005-10-01,11572.0
2006-01-01,9743.0
2006-04-01,9191.0
2006-07-01,16444.0
2006-10-01,7286.0
2007-01-01,16340.0
2007-04-01,12096.0
2007-07-01,-32227.0
2007-10-01,13580.0
2008-01-01,11430.0
2008-04-01,12206.0
2008-07-01,11464.0
2008-10-01,8750.0
2009-01-01,10341.0
2009-04-01,7120.0
2009-07-01,6929.0
2009-10-01,7326.0
2010-01-01,8943.0
2010-04-01,8790.0
2010-07-01,13633.0
2010-10-01,8072.0
2011-01-01,5896.0
2011-04-01,9031.0
2011-07-01,14388.0
2011-10-01,16452.0
2012-01-01,9764.0
2012-04-01,12782.0
2012-07-01,12212.0
2012-10-01,11419.0
2013-01-01,53373.0
2013-04-01,9689.0
2013-07-01,1139.0
2013-10-01,24886.0
2014-01-01,4694.0
2014-04-01,28410.0
2014-07-01,14423.0
2014-10-01,16562.0
2015-01-01,20861.0
2015-04-01,18556.0
2015-07-01,-8615.0
2015-10-01,8402.0
2016-01-01,9952.0
2016-04-01,19893.0
2016-07-01,16374.0
2016-10-01,22282.0
2017-01-01,7090.0
2017-04-01,16631.0
2017-07-01,7718.0
2017-10-01,16546.0
2018-01-01,16699.0
2018-04-01,18595.0
2018-07-01,16990.0
2018-10-01,14912.0
2019-01-01,20583.0
2019-04-01,18628.0
2019-07-01,21527.0
2019-10-01,21454.0
2020-01-01,19257.0
2020-04-01,11361.0
2020-07-01,14722.0
2020-10-01,15904.0
2021-01-01,13406.0
